CustomerID,Status,Predicted_Churn_%,Retention_Agent,Recommended_Action
C00001,Likely_to_Leave,0.79,Aditi Sharma,Proactive email: upgrade to Standard with 10% discount
C00002,Likely_to_Leave,12.33,Rahul Singh,Proactive email: upgrade to Standard with 10% discount
C00003,Likely_to_Leave,1.2,Meera Iyer,"Email + phone call from Meera Iyer: offer 15% loyalty discount, free roadside assist add‑on"
C00004,Likely_to_Leave,15.85,Santosh Rao,Proactive email: upgrade to Standard with 10% discount
C00005,Already_Left,67.03,Kunal Desai,Win‑back call by agent Kunal Desai + 25% discount on re‑joining Premium plan
C00006,Likely_to_Leave,29.88,Anita Paul,"Email + phone call from Anita Paul: offer 15% loyalty discount, free roadside assist add‑on"
C00007,Likely_to_Leave,0.87,Aditi Sharma,Proactive email: upgrade to Standard with 10% discount
C00008,Stable,0.18,Rahul Singh,Thank‑you email with wellness gift voucher
C00009,Likely_to_Leave,22.71,Meera Iyer,"Email + phone call from Meera Iyer: offer 15% loyalty discount, free roadside assist add‑on"
C00010,Stable,0.14,Santosh Rao,Thank‑you email with wellness gift voucher
C00011,Stable,0.09,Kunal Desai,Thank‑you email with wellness gift voucher
C00012,Already_Left,81.16,Anita Paul,Win‑back call by agent Anita Paul + 25% discount on re‑joining Premium plan
C00013,Likely_to_Leave,87.62,Aditi Sharma,Proactive email: upgrade to Standard with 10% discount
C00014,Stable,0.36,Rahul Singh,Thank‑you email with wellness gift voucher
C00015,Stable,0.15,Meera Iyer,Thank‑you email with wellness gift voucher
C00016,Already_Left,79.87,Santosh Rao,Win‑back call by agent Santosh Rao + 25% discount on re‑joining Premium plan
C00017,Stable,0.16,Kunal Desai,Thank‑you email with wellness gift voucher
C00018,Already_Left,91.66,Anita Paul,Win‑back call by agent Anita Paul + 25% discount on re‑joining Premium plan
C00019,Stable,0.18,Aditi Sharma,Thank‑you email with wellness gift voucher
C00020,Likely_to_Leave,6.91,Rahul Singh,"Email + phone call from Rahul Singh: offer 15% loyalty discount, free roadside assist add‑on"
C00021,Likely_to_Leave,28.82,Meera Iyer,Proactive email: upgrade to Standard with 10% discount
C00022,Likely_to_Leave,18.32,Santosh Rao,"Email + phone call from Santosh Rao: offer 15% loyalty discount, free roadside assist add‑on"
C00023,Likely_to_Leave,0.77,Kunal Desai,"Email + phone call from Kunal Desai: offer 15% loyalty discount, free roadside assist add‑on"
C00024,Already_Left,84.92,Anita Paul,Win‑back call by agent Anita Paul + 25% discount on re‑joining Premium plan
C00025,Already_Left,87.9,Aditi Sharma,Win‑back call by agent Aditi Sharma + 25% discount on re‑joining Premium plan
C00026,Likely_to_Leave,12.27,Rahul Singh,Proactive email: upgrade to Standard with 10% discount
C00027,Stable,0.29,Meera Iyer,Thank‑you email with wellness gift voucher
C00028,Stable,0.4,Santosh Rao,Thank‑you email with wellness gift voucher
C00029,Stable,0.13,Kunal Desai,Thank‑you email with wellness gift voucher
C00030,Already_Left,64.54,Anita Paul,Win‑back call by agent Anita Paul + 25% discount on re‑joining Premium plan
C00031,Likely_to_Leave,34.49,Aditi Sharma,"Email + phone call from Aditi Sharma: offer 15% loyalty discount, free roadside assist add‑on"
C00032,Likely_to_Leave,29.53,Rahul Singh,"Email + phone call from Rahul Singh: offer 15% loyalty discount, free roadside assist add‑on"
C00033,Likely_to_Leave,2.77,Meera Iyer,"Email + phone call from Meera Iyer: offer 15% loyalty discount, free roadside assist add‑on"
C00034,Likely_to_Leave,1.85,Santosh Rao,"Email + phone call from Santosh Rao: offer 15% loyalty discount, free roadside assist add‑on"
C00035,Stable,0.09,Kunal Desai,Thank‑you email with wellness gift voucher
C00036,Likely_to_Leave,1.97,Anita Paul,"Email + phone call from Anita Paul: offer 15% loyalty discount, free roadside assist add‑on"
C00037,Stable,0.1,Aditi Sharma,Thank‑you email with wellness gift voucher
C00038,Stable,0.06,Rahul Singh,Thank‑you email with wellness gift voucher
C00039,Likely_to_Leave,19.93,Meera Iyer,"Email + phone call from Meera Iyer: offer 15% loyalty discount, free roadside assist add‑on"
C00040,Stable,0.15,Santosh Rao,Thank‑you email with wellness gift voucher
C00041,Stable,0.4,Kunal Desai,Thank‑you email with wellness gift voucher
C00042,Likely_to_Leave,0.76,Anita Paul,Proactive email: upgrade to Standard with 10% discount
C00043,Likely_to_Leave,2.14,Aditi Sharma,Proactive email: upgrade to Standard with 10% discount
C00044,Likely_to_Leave,1.4,Rahul Singh,"Email + phone call from Rahul Singh: offer 15% loyalty discount, free roadside assist add‑on"
C00045,Likely_to_Leave,2.4,Meera Iyer,"Email + phone call from Meera Iyer: offer 15% loyalty discount, free roadside assist add‑on"
C00046,Stable,0.02,Santosh Rao,Thank‑you email with wellness gift voucher
C00047,Likely_to_Leave,0.78,Kunal Desai,"Email + phone call from Kunal Desai: offer 15% loyalty discount, free roadside assist add‑on"
C00048,Stable,0.07,Anita Paul,Thank‑you email with wellness gift voucher
C00049,Stable,0.3,Aditi Sharma,Thank‑you email with wellness gift voucher
C00050,Stable,0.12,Rahul Singh,Thank‑you email with wellness gift voucher
C00051,Likely_to_Leave,6.73,Meera Iyer,"Email + phone call from Meera Iyer: offer 15% loyalty discount, free roadside assist add‑on"
C00052,Already_Left,29.91,Santosh Rao,Win‑back call by agent Santosh Rao + 25% discount on re‑joining Premium plan
C00053,Stable,0.13,Kunal Desai,Thank‑you email with wellness gift voucher
C00054,Likely_to_Leave,0.73,Anita Paul,"Email + phone call from Anita Paul: offer 15% loyalty discount, free roadside assist add‑on"
C00055,Likely_to_Leave,0.81,Aditi Sharma,"Email + phone call from Aditi Sharma: offer 15% loyalty discount, free roadside assist add‑on"
C00056,Likely_to_Leave,1.03,Rahul Singh,"Email + phone call from Rahul Singh: offer 15% loyalty discount, free roadside assist add‑on"
C00057,Likely_to_Leave,1.19,Meera Iyer,Proactive email: upgrade to Standard with 10% discount
C00058,Likely_to_Leave,17.21,Santosh Rao,Proactive email: upgrade to Standard with 10% discount
C00059,Stable,0.07,Kunal Desai,Thank‑you email with wellness gift voucher
C00060,Stable,0.15,Anita Paul,Thank‑you email with wellness gift voucher
C00061,Likely_to_Leave,60.14,Aditi Sharma,"Email + phone call from Aditi Sharma: offer 15% loyalty discount, free roadside assist add‑on"
C00062,Likely_to_Leave,1.83,Rahul Singh,Proactive email: upgrade to Standard with 10% discount
C00063,Stable,0.26,Meera Iyer,Thank‑you email with wellness gift voucher
C00064,Likely_to_Leave,2.38,Santosh Rao,Proactive email: upgrade to Standard with 10% discount
C00065,Likely_to_Leave,12.94,Kunal Desai,Proactive email: upgrade to Standard with 10% discount
C00066,Stable,0.09,Anita Paul,Thank‑you email with wellness gift voucher
C00067,Stable,0.4,Aditi Sharma,Thank‑you email with wellness gift voucher
C00068,Stable,0.1,Rahul Singh,Thank‑you email with wellness gift voucher
C00069,Likely_to_Leave,1.65,Meera Iyer,Proactive email: upgrade to Standard with 10% discount
C00070,Already_Left,70.73,Santosh Rao,Win‑back call by agent Santosh Rao + 25% discount on re‑joining Premium plan
C00071,Stable,0.61,Kunal Desai,Thank‑you email with wellness gift voucher
C00072,Likely_to_Leave,11.62,Anita Paul,Proactive email: upgrade to Standard with 10% discount
C00073,Stable,0.4,Aditi Sharma,Thank‑you email with wellness gift voucher
C00074,Stable,0.09,Rahul Singh,Thank‑you email with wellness gift voucher
C00075,Likely_to_Leave,3.13,Meera Iyer,"Email + phone call from Meera Iyer: offer 15% loyalty discount, free roadside assist add‑on"
C00076,Likely_to_Leave,0.8,Santosh Rao,"Email + phone call from Santosh Rao: offer 15% loyalty discount, free roadside assist add‑on"
C00077,Stable,0.58,Kunal Desai,Thank‑you email with wellness gift voucher
C00078,Stable,0.06,Anita Paul,Thank‑you email with wellness gift voucher
C00079,Stable,0.11,Aditi Sharma,Thank‑you email with wellness gift voucher
C00080,Already_Left,94.83,Rahul Singh,Win‑back call by agent Rahul Singh + 25% discount on re‑joining Premium plan
C00081,Stable,0.7,Meera Iyer,Thank‑you email with wellness gift voucher
C00082,Stable,0.28,Santosh Rao,Thank‑you email with wellness gift voucher
C00083,Stable,0.04,Kunal Desai,Thank‑you email with wellness gift voucher
C00084,Already_Left,40.27,Anita Paul,Win‑back call by agent Anita Paul + 25% discount on re‑joining Premium plan
C00085,Already_Left,65.24,Aditi Sharma,Win‑back call by agent Aditi Sharma + 25% discount on re‑joining Premium plan
C00086,Likely_to_Leave,4.39,Rahul Singh,Proactive email: upgrade to Standard with 10% discount
C00087,Stable,0.1,Meera Iyer,Thank‑you email with wellness gift voucher
C00088,Stable,0.35,Santosh Rao,Thank‑you email with wellness gift voucher
C00089,Stable,0.32,Kunal Desai,Thank‑you email with wellness gift voucher
C00090,Likely_to_Leave,5.31,Anita Paul,Proactive email: upgrade to Standard with 10% discount
C00091,Likely_to_Leave,23.82,Aditi Sharma,Proactive email: upgrade to Standard with 10% discount
C00092,Stable,0.56,Rahul Singh,Thank‑you email with wellness gift voucher
C00093,Stable,0.13,Meera Iyer,Thank‑you email with wellness gift voucher
C00094,Stable,0.4,Santosh Rao,Thank‑you email with wellness gift voucher
C00095,Stable,0.06,Kunal Desai,Thank‑you email with wellness gift voucher
C00096,Stable,0.08,Anita Paul,Thank‑you email with wellness gift voucher
C00097,Likely_to_Leave,20.13,Aditi Sharma,"Email + phone call from Aditi Sharma: offer 15% loyalty discount, free roadside assist add‑on"
C00098,Stable,0.06,Rahul Singh,Thank‑you email with wellness gift voucher
C00099,Likely_to_Leave,0.81,Meera Iyer,"Email + phone call from Meera Iyer: offer 15% loyalty discount, free roadside assist add‑on"
C00100,Already_Left,71.86,Santosh Rao,Win‑back call by agent Santosh Rao + 25% discount on re‑joining Premium plan
C00101,Stable,0.07,Kunal Desai,Thank‑you email with wellness gift voucher
C00102,Likely_to_Leave,3.26,Anita Paul,"Email + phone call from Anita Paul: offer 15% loyalty discount, free roadside assist add‑on"
C00103,Stable,0.67,Aditi Sharma,Thank‑you email with wellness gift voucher
C00104,Stable,0.02,Rahul Singh,Thank‑you email with wellness gift voucher
C00105,Stable,0.4,Meera Iyer,Thank‑you email with wellness gift voucher
C00106,Likely_to_Leave,18.94,Santosh Rao,Proactive email: upgrade to Standard with 10% discount
C00107,Stable,0.4,Kunal Desai,Thank‑you email with wellness gift voucher
C00108,Stable,0.29,Anita Paul,Thank‑you email with wellness gift voucher
C00109,Stable,0.07,Aditi Sharma,Thank‑you email with wellness gift voucher
C00110,Stable,0.14,Rahul Singh,Thank‑you email with wellness gift voucher
C00111,Likely_to_Leave,41.96,Meera Iyer,"Email + phone call from Meera Iyer: offer 15% loyalty discount, free roadside assist add‑on"
C00112,Likely_to_Leave,66.7,Santosh Rao,Proactive email: upgrade to Standard with 10% discount
